model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
DynamicRidge,conditional,model_specific,global,12,341,341,341,341,1.0,23.790639283370414,58.02721585688477,60.590361750558465,0.4323035274234952,0.3951368315481561,0.55328090348432,5.462632897662277,0.09926237973477761,341.0,direct,2,development
DynamicRidge,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,23.10032925304118,34.90533835710664,61.18103496052174,0.4047487521612312,0.3935073355243965,0.5325880078024077,5.27600915329725,0.12076650627111533,28.416666666666668,direct,2,development
SeasonalNaive,conditional,model_specific,global,12,341,341,341,341,1.0,32.05180840664712,54.84657649666949,166.66505930653796,0.5824185583857331,0.5543121548355554,0.8895156292428996,6.4584555229716525,0.11735763259796086,341.0,direct,2,development
SeasonalNaive,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,31.232113051380296,42.593724146390066,162.6947385155683,0.8415463967186421,0.5519772337371128,0.8029598834636033,6.056335142613879,0.5021313397518664,28.416666666666668,direct,2,development
MovingAvg28,conditional,model_specific,global,12,341,341,341,341,1.0,34.806242381067065,56.215625539794445,126.05617196266832,0.6324698205234929,0.6093208515416042,0.8559747478943277,-7.406249070134063,-0.13458014136820395,341.0,direct,2,development
MovingAvg28,conditional,model_specific,mean_fold,12,341,341,341,341,1.0,33.912025249860655,42.53411248398529,123.54653240132222,0.7429716711231374,0.6050167005367209,0.7985404258717783,-7.206566387411535,0.3407143189373836,28.416666666666668,direct,2,development
NeuralNet,realized,common,global,11,347,347,289,289,0.8328530259365994,13.959767069371102,23.116760244905738,80.29130854281637,0.3905113428562819,0.391387187124858,0.6018605852820288,2.795869003942681,0.07821180351751378,289.0,direct,3,development
NeuralNet,realized,common,mean_fold,11,347,347,289,289,0.8328530259365994,13.460827120335095,18.53486786153494,76.38655363130914,0.46202464525802417,0.3858172740839226,0.5082151371558488,2.4692231510454303,0.23814995465368877,26.272727272727273,direct,3,development
XGBoost,realized,common,global,11,347,347,347,289,1.0,12.628069111220151,22.48403620308074,54.17656345497842,0.35325834605968676,0.36679424406710087,0.5091811905062174,1.2610227368694689,0.03527592401077113,289.0,direct,3,development
XGBoost,realized,common,mean_fold,11,347,347,347,289,1.0,12.413042680347605,17.268643895325695,53.62803004623067,0.35944094605358223,0.36699117583084456,0.47800478395521967,1.0585875626398158,0.12551920420001902,26.272727272727273,direct,3,development
LightGBM,realized,common,global,11,347,347,347,289,1.0,13.286333029657913,24.052017610722626,57.744040538302436,0.3716726595267773,0.3723440822766249,0.5206413715185679,2.1023561401763176,0.058811433986153884,289.0,direct,3,development
LightGBM,realized,common,mean_fold,11,347,347,347,289,1.0,13.061923971703317,18.409334676961908,56.95470578887384,0.38819093546781946,0.37212380626080127,0.47683010906270823,1.9078049988925072,0.1623545258912476,26.272727272727273,direct,3,development
DynamicRidge,realized,common,global,11,347,347,344,289,0.9913544668587896,15.691775988130008,29.252637081924235,77.42807430649108,0.4389626619465272,0.4135300729796993,0.6154360009481555,9.784484994040229,0.2737117571655818,289.0,direct,3,development
DynamicRidge,realized,common,mean_fold,11,347,347,344,289,0.9913544668587896,15.21099071450269,22.343664404706047,74.0475347888901,0.4694913310983791,0.4076713585490533,0.5400801506428761,9.487191428370028,0.30398918325095,26.272727272727273,direct,3,development
SeasonalNaive,realized,common,global,11,347,347,344,289,0.9913544668587896,30.397923875432525,54.133213873653,190.52502766601305,0.8503533055851321,0.6334382689060022,0.943901661655301,19.802768166089965,0.5539637982770304,289.0,direct,3,development
SeasonalNaive,realized,common,mean_fold,11,347,347,344,289,0.9913544668587896,28.665862317758865,39.03329291301233,179.15546409322917,1.0695478838754349,0.6203052084384838,0.8241658496133837,17.734025227645915,0.8233940640456932,26.272727272727273,direct,3,development
MovingAvg28,realized,common,global,11,347,347,344,289,0.9913544668587896,24.497166840592445,40.61363452340074,163.39206273567467,0.6852851821635095,0.5768280566527657,0.868784673978352,10.49290108200143,0.2935290303647675,289.0,direct,3,development
MovingAvg28,realized,common,mean_fold,11,347,347,344,289,0.9913544668587896,23.81997999681702,30.796162086841516,159.44654940088142,0.9051987174214037,0.5792620343692365,0.7697769838963228,9.797836890880815,0.6890377496403192,26.272727272727273,direct,3,development
NeuralNet,realized,model_specific,global,11,347,347,289,289,0.8328530259365994,13.959767069371102,23.116760244905738,80.29130854281637,0.3905113428562819,0.391387187124858,0.6018605852820288,2.795869003942681,0.07821180351751378,289.0,direct,3,development
NeuralNet,realized,model_specific,mean_fold,11,347,347,289,289,0.8328530259365994,13.460827120335095,18.53486786153494,76.38655363130914,0.46202464525802417,0.3858172740839226,0.5082151371558488,2.4692231510454303,0.23814995465368877,26.272727272727273,direct,3,development
XGBoost,realized,model_specific,global,12,347,347,347,347,1.0,14.754858424409322,26.90639808017788,143.17571438303798,0.4371529946439579,0.4211295171973216,0.715346199292057,4.81269080288472,0.14258911446388303,347.0,direct,3,development
XGBoost,realized,model_specific,mean_fold,12,347,347,347,347,1.0,14.70724016353033,22.877532670495413,146.91176434641102,0.47793972024161385,0.4248377515544908,0.670079325699112,4.7126465098135935,0.259790768448033,28.916666666666668,direct,3,development
LightGBM,realized,model_specific,global,12,347,347,347,347,1.0,13.19947539557641,23.367489234088495,66.3659550746141,0.39107052273437626,0.42196134934842877,0.5846155686660579,1.9554620270083205,0.057935905342545016,347.0,direct,3,development
LightGBM,realized,model_specific,mean_fold,12,347,347,347,347,1.0,13.12701675749524,18.518219390836258,66.87491136084743,0.4139488325716805,0.42497985783905684,0.5537271391433296,1.8445523110093944,0.16000082931675205,28.916666666666668,direct,3,development
DynamicRidge,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,17.845361940389456,34.085987994902325,110.98409987333841,0.5241465597245537,0.46761476818118436,0.7233897966352177,12.098732053540473,0.35535893326655765,344.0,direct,3,development
DynamicRidge,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,17.63149947298162,27.33768076579753,112.3111937507879,0.5885375706592417,0.4668069718789924,0.6810739120346324,11.863731092678174,0.4221995886744057,28.666666666666668,direct,3,development
