model,evaluation_regime,comparison_population,aggregation,n_folds,n_expected,n_actual,n_predicted,n_scored,coverage,MAE,RMSE,MAPE,WAPE,sMAPE,RMSLE,Bias,BiasRatio,n,strategy,horizon,origin_type
XGBoost,realized,model_specific,mean_fold,12,347,347,347,347,1.0,13.952203851302903,18.59671522038421,44.84063853232187,0.2752419484338306,0.33277975964388534,0.45176600082759416,-6.169278090912052,-0.014236550779943244,28.916666666666668,direct,2,development
LightGBM,realized,model_specific,global,12,347,347,347,347,1.0,14.474988349576504,25.25175075928898,50.20568552824267,0.2675983461535987,0.3424198771071881,0.4903623923028744,-5.1384472884774555,-0.09499420400115487,347.0,direct,2,development
LightGBM,realized,model_specific,mean_fold,12,347,347,347,347,1.0,14.251115879364795,18.826962095705074,50.76649851894222,0.29026526921504153,0.34306497312899004,0.4727321711892576,-4.9300478031725525,0.013068426629604897,28.916666666666668,direct,2,development
DynamicRidge,realized,model_specific,global,12,347,347,347,347,1.0,25.254893741471108,65.00569597846304,163.83309737329904,0.46688588856102686,0.4152394246937904,0.7030827531107183,8.308435526442974,0.15359760935938796,347.0,direct,2,development
DynamicRidge,realized,model_specific,mean_fold,12,347,347,347,347,1.0,24.848698740044156,41.42983258367787,166.51956306772817,0.43327863280810286,0.4163158676671135,0.655134378694543,8.266048792406226,0.16447178566485635,28.916666666666668,direct,2,development
SeasonalNaive,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,31.786821705426355,54.60718899961137,166.5197244870042,0.5825608240099449,0.5599431534178035,0.8879277209342932,6.410852713178295,0.11749245249511633,344.0,direct,2,development
SeasonalNaive,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,31.0979012345679,42.48713731345276,162.39319754393918,0.8421352322892349,0.5587896925359973,0.8028851261401592,5.974074074074074,0.5026133955605385,28.666666666666668,direct,2,development
MovingAvg28,realized,model_specific,global,12,347,347,344,344,0.9913544668587896,34.56963554061001,55.97700777894513,129.38715294562755,0.6335617808188515,0.6161335259778744,0.8616235519871995,-7.274723717702738,-0.13332471810813756,344.0,direct,2,development
MovingAvg28,realized,model_specific,mean_fold,12,347,347,344,344,0.9913544668587896,33.85104619056914,42.46783982777994,127.07626444544616,0.7447175333082506,0.6132540348778617,0.8076067617647246,-7.161226906703959,0.3425536373085099,28.666666666666668,direct,2,development
NeuralNet,conditional,common,global,12,341,341,341,341,1.0,17.755971382512037,30.267150948729057,50.37177219713993,0.3226466077713207,0.37374496665668916,0.5114422743604798,-3.5788700231843444,-0.06503222199221259,341.0,direct,2,development
NeuralNet,conditional,common,mean_fold,12,341,341,341,341,1.0,17.404822637302612,23.38221880262886,49.940385646833306,0.3742435725776969,0.37326843327450426,0.4885720968684537,-3.5346885160590245,0.08632992862084837,28.416666666666668,direct,2,development
XGBoost,conditional,common,global,12,341,341,341,341,1.0,14.299298175618796,25.256416024078895,33.60826259215628,0.25983484375391713,0.31501766370292844,0.40962547062475135,-6.67584674134632,-0.12130788334216643,341.0,direct,2,development
XGBoost,conditional,common,mean_fold,12,341,341,341,341,1.0,13.999492136691943,18.664214580994162,33.657654120317225,0.2712838471120525,0.3150538014564244,0.3950355722074281,-6.318428942161307,-0.018300254572794997,28.416666666666668,direct,2,development
LightGBM,conditional,common,global,12,341,341,341,341,1.0,14.591354886457717,25.438020989613165,37.92274372245284,0.26514185315368655,0.32465055287474115,0.42211763890409343,-5.365224704364877,-0.09749235980967831,341.0,direct,2,development
LightGBM,conditional,common,mean_fold,12,341,341,341,341,1.0,14.27882589877244,18.86602696309101,37.79614586361418,0.28550905215715694,0.3240796160272996,0.411784572197151,-5.089891392219642,0.008272474222662111,28.416666666666668,direct,2,development
DynamicRidge,conditional,common,global,12,341,341,341,341,1.0,24.64201143569698,64.26033892092394,63.389295587015646,0.44777394754197325,0.394040510873655,0.5738515768841205,7.397375070257795,0.13441889049120262,341.0,direct,2,development
DynamicRidge,conditional,common,mean_fold,12,341,341,341,341,1.0,24.036089702902103,38.8323828945967,62.649164973360875,0.4076186359788229,0.39379313592945375,0.5459516918486065,7.249373756672331,0.13869708452249327,28.416666666666668,direct,2,development
SeasonalNaive,conditional,common,global,12,341,341,341,341,1.0,32.05180840664712,54.84657649666949,166.66505930653796,0.5824185583857331,0.5543121548355554,0.8895156292428996,6.4584555229716525,0.11735763259796086,341.0,direct,2,development
